
260	50306.69	640.6896 	15.26277 
300	27267.14	393.4944 	8.568398
350	14000.81 	225.8636 	4.508729
400	7669.378	138.7752 	2.529241 
450	4467.691	89.33091 	1.590187
500	2751.088	58.31881 	1.035312 
550	1736.939	40.73457 	0.668681
600	1144.981	28.55614	0.447211
650	763.1480	20.52529 	0.325447 
700	525.0197	15.18737	0.234737 
750	369.8910	11.55049	0.171558 
800	267.1179	8.730192 	0.128356 
850	192.1993	6.623934	0.100120
900	141.2582	5.228765 	0.075705
950	104.6740	4.075803 	0.058496 
1000	78.99026	3.250712	0.046939
1050	60.01676	2.575921	0.037275 
1100	46.28777	2.061812	0.030041 
1150	35.67228	1.676080 	0.023400 
1200	27.81883	1.338286	0.019247 
1250	21.97558	1.108162	0.016134 
1300	17.39759	0.922174	0.013185
1350	13.66489	0.762015 	0.010967
1400	11.11555	0.636538 	0.009013 
